UserID,JobID,ApplicationDate,Status,Rating
964496,1722,2023-06-16,Hired,5.0
964496,4553,2023-12-01,Rejected,
964496,9929,2023-09-15,Hired,3.0
964496,8875,2023-11-15,Interviewed,2.0
986206,14396,2023-01-19,Rejected,
986206,13348,2023-09-27,Applied,
986206,4683,2023-05-28,Rejected,
986206,10168,2023-07-04,Applied,
986206,3112,2023-08-02,Interviewed,3.0
769632,13771,2023-01-08,Applied,
769632,8500,2023-09-19,Rejected,
769632,2296,2023-07-11,Interviewed,5.0
769632,6690,2023-10-15,Applied,
769632,7869,2023-07-28,Rejected,
981314,1926,2023-02-11,Interviewed,3.0
962892,10721,2023-08-04,Applied,
967782,5118,2023-02-05,Applied,
967782,12168,2023-09-28,Rejected,
986307,5794,2023-09-27,Rejected,
986307,833,2023-10-16,Hired,1.0
986307,4179,2023-04-08,Interviewed,2.0
986307,8957,2023-05-09,Rejected,
986307,8794,2023-12-16,Applied,
990789,7472,2023-06-24,Hired,2.0
990789,9174,2023-08-12,Rejected,
990789,2037,2023-09-13,Interviewed,3.0
990789,4688,2023-05-08,Applied,
990789,9417,2023-02-10,Hired,2.0
981988,1923,2023-09-26,Interviewed,4.0
966890,8235,2023-05-11,Applied,
966890,10325,2023-10-09,Applied,
980703,2918,2023-10-11,Applied,
980703,14336,2023-04-18,Interviewed,5.0
964005,1623,2023-03-21,Applied,
964005,6253,2023-02-25,Applied,
964005,2988,2023-07-23,Interviewed,2.0
811374,6044,2023-12-23,Applied,
811374,9365,2023-11-14,Interviewed,1.0
811374,11161,2023-04-25,Rejected,
974710,3701,2023-06-06,Rejected,
974710,6448,2023-02-21,Applied,
958757,7199,2023-03-16,Applied,
958757,12913,2023-11-05,Hired,5.0
958757,11902,2023-09-15,Rejected,
958757,11546,2023-08-12,Applied,
961292,6832,2023-03-21,Applied,
961292,11109,2023-05-26,Rejected,
970020,2646,2023-10-07,Applied,
970020,13972,2023-06-08,Hired,1.0
922017,13077,2023-04-18,Applied,
922017,10183,2023-06-13,Applied,
922017,12751,2023-12-15,Rejected,
922017,266,2023-10-15,Hired,1.0
